ticker,company,stock_type,qty,percentage
ALOS3,ALLOS,ONEDNM,466.632.333,0.554
ABEV3,AMBEV S/A,ONEX,4.273.841.357,2.432
ASAI3,ASSAI,ONNM,1.344.470.815,0.416
AURE3,AUREN,ONNM,318.338.365,0.163
AXIA3,AXIA ENERGIA,ONEBN1,1.821.923.647,3.882
AXIA6,AXIA ENERGIA,PNBEBN1,270.513.025,0.602
AXIA7,AXIA ENERGIA,PNCN1,549.971.635,1.172
AZZA3,AZZAS 2154,ONEDNM,134.911.449,0.134
B3SA3,B3,ONNM,5.196.371.458,2.981
BBSE3,BBSEGURIDADE,ONNM,616.186.808,0.931
BBDC3,BRADESCO,ONN1,1.467.570.789,0.997
BBDC4,BRADESCO,PNN1,5.106.488.516,4.047
BRAP4,BRADESPAR,PNEDJN1,250.973.136,0.217
BBAS3,BRASIL,ONNM,2.842.496.541,2.611
BRKM5,BRASKEM,PNAN1,265.876.767,0.089
BRAV3,BRAVA,ONNM,461.715.081,0.307
BPAC11,BTGP BANCO,UNTEJN2,1.404.794.900,3.145
CXSE3,CAIXA SEGURI,ONNM,600.000.000,0.409
CEAB3,CEA MODAS,ONNM,138.420.009,0.076
CMIG4,CEMIG,PNN1,1.904.057.894,0.904
COGN3,COGNA ON,ONNM,1.810.877.718,0.279
CPLE3,COPEL,ONNM,1.671.982.390,0.922
CSAN3,COSAN,ONNM,3.248.010.756,0.733
CPFE3,CPFL ENERGIA,ONNM,187.732.538,0.411
CMIN3,CSNMINERACAO,ONN2,1.646.519.336,0.371
CURY3,CURY S/A,ONEDNM,135.117.425,0.186
CVCB3,CVC BRASIL,ONNM,450.059.727,0.039
CYRE3,CYRELA REALT,ONNM,256.055.995,0.327
DIRR3,DIRECIONAL,ONEDNM,325.640.184,0.193
EMBJ3,EMBRAER,ONEDJNM,733.564.938,2.766
ENGI11,ENERGISA,UNTN2,358.053.350,0.725
ENEV3,ENEVA,ONNM,1.912.620.486,1.632
EGIE3,ENGIE BRASIL,ONEJNM,357.302.353,0.475
EQTL3,EQUATORIAL,ONNM,1.246.479.596,2.067
FLRY3,FLEURY,ONNM,447.171.522,0.278
GGBR4,GERDAU,PNN1,1.276.025.309,1.114
GOAU4,GERDAU MET,PNEBN1,830.615.026,0.319
HAPV3,HAPVIDA,ONNM,311.257.700,0.19
HYPE3,HYPERA,ONNM,293.521.155,0.288
IGTI11,IGUATEMI S.A,UNTN1,211.401.696,0.225
IRBR3,IRBBRASIL RE,ONNM,81.838.787,0.186
ISAE4,ISA ENERGIA,PNEJN1,395.801.044,0.457
ITSA4,ITAUSA,PNEBN1,5.970.352.666,2.934
ITUB4,ITAUUNIBANCO,PNN1,4.611.334.219,7.809
KLBN11,KLABIN S/A,UNTEDBN2,792.355.216,0.621
RENT3,LOCALIZA,ONEJNM,977.042.684,1.833
LREN3,LOJAS RENNER,ONEJNM,1.000.358.705,0.581
MGLU3,MAGAZ LUIZA,ONATZNM,355.414.674,0.141
POMO4,MARCOPOLO,PNN2,661.573.516,0.172
MBRF3,MARFRIG,ONNM,708.146.298,0.593
BEEF3,MINERVA,ONEDNM,433.648.983,0.105
MOTV3,MOTIVA SA,ONEDNM,988.559.510,0.641
MRVE3,MRV,ONNM,375.402.024,0.126
MULT3,MULTIPLAN,ONN2,314.022.221,0.369
NATU3,NATURA,ONNM,839.505.097,0.265
PCAR3,P.ACUCAR-CBD,ONNM,433.412.603,0.07
PETR3,PETROBRAS,ONN2,2.643.091.977,3.7
PETR4,PETROBRAS,PNN2,4.410.960.450,5.86
RECV3,PETRORECSA,ONNM,274.720.419,0.126
PRIO3,PETRORIO,ONNM,762.764.253,1.249
PSSA3,PORTO SEGURO,ONNM,181.016.454,0.36
RADL3,RAIADROGASIL,ONNM,1.285.713.898,1.272
RAIZ4,RAIZEN,PNN2,1.226.933.170,0.043
RDOR3,REDE D OR,ONEDJNM,1.091.469.308,1.938
RAIL3,RUMO S.A.,ONNM,1.215.488.549,0.755
SBSP3,SABESP,ONATZNM,596.215.913,3.482
SANB11,SANTANDER BR,UNT,360.347.199,0.499
CSNA3,SID NACIONAL,ON,727.975.012,0.289
SLCE3,SLC AGRICOLA,ONEDJNM,197.693.014,0.136
SMFT3,SMART FIT,ONNM,440.578.520,0.438
SUZB3,SUZANO S.A.,ONEDNM,645.082.079,1.418
TAEE11,TAESA,UNTN2,218.568.234,0.383
VIVT3,TELEF BRASIL,ON,738.065.812,1.038
TIMS3,TIM,ONEDNM,804.628.136,0.761
TOTS3,TOTVS,ONEJNM,533.261.054,0.992
UGPA3,ULTRAPAR,ONNM,1.071.443.332,0.945
USIM5,USIMINAS,PNAN1,459.046.773,0.115
VALE3,VALE,ONEDJNM,4.267.772.018,12.954
VAMO3,VAMOS,ONEJNM,498.192.519,0.069
VBBR3,VIBRA,ONNM,1.191.669.079,1.268
VIVA3,VIVARA S.A.,ONEDNM,123.160.591,0.174
WEGE3,WEG,ONEDNM,1.485.954.732,3.086
YDUQ3,YDUQS PART,ONNM,260.753.144,0.138
