ticker,company,stock_type,qty,percentage
ABCB4,ABC BRASIL,PNN2,93979601,0.5
AURE3,AUREN,ONNM,399187886,1.003
BRSR6,BANRISUL,PNBEJN1,253975336,0.814
BBSE3,BBSEGURIDADE,ONNM,772681953,5.786
BRBI11,BR PARTNERS,UNTN2,59235273,0.237
BBDC3,BRADESCO,ONN1,1417668602,4.733
BBDC4,BRADESCO,PNN1,1186333043,4.601
BRAP4,BRADESPAR,PNEDJN1,314713672,1.346
BBAS3,BRASIL,ONNM,1023600703,4.69
AGRO3,BRASILAGRO,ONNM,79602852,0.337
CXSE3,CAIXA SEGURI,ONNM,752384124,2.577
CMIG4,CEMIG,PNEDJN1,2387638220,5.507
CSMG3,COPASA,ONEDJNM,236333753,2.189
CPFE3,CPFL ENERGIA,ONNM,235411635,2.553
CMIN3,CSNMINERACAO,ONN2,2064691682,2.353
CURY3,CURY S/A,ONEDNM,169433675,1.149
DIRR3,DIRECIONAL,ONEDNM,408344174,1.205
EGIE3,ENGIE BRASIL,ONEJNM,448047695,2.937
EVEN3,EVEN,ONNM,233809580,0.382
FESA4,FERBASA,PNN1,201272408,0.296
FLRY3,FLEURY,ONNM,560741256,1.772
GOAU4,GERDAU MET,PNEBN1,1041569265,1.992
GRND3,GRENDENE,ONNM,336101734,0.381
RANI3,IRANI,ONNM,125353931,0.227
ISAE4,ISA ENERGIA,PNEJN1,496324036,2.903
ITSA4,ITAUSA,PNEBN1,1720571448,4.201
ITUB3,ITAUUNIBANCO,ONEBN1,571976157,4.31
ITUB4,ITAUUNIBANCO,PNEBN1,473494605,3.899
JHSF3,JHSF PART,ONNM,352088342,0.59
KEPL3,KEPLER WEBER,ONEDNM,217030463,0.444
KLBN11,KLABIN S/A,UNTEDBN2,784364415,3.075
LAVV3,LAVVI,ONNM,93082617,0.31
POMO4,MARCOPOLO,PNEBN2,912555251,1.138
MBRF3,MARFRIG,ONNM,236438185,0.973
LEVE3,METAL LEVE,ONEJNM,66292409,0.477
ODPV3,ODONTOPREV,ONEDJNM,316276605,0.742
PGMN3,PAGUE MENOS,ONEJSNM,291766286,0.359
PETR3,PETROBRAS,ONEDJN2,652304901,4.4
PETR4,PETROBRAS,PNEDJN2,743798544,4.749
RECV3,PETRORECSA,ONNM,344492136,0.806
SAPR11,SANEPAR,UNTN2,252145837,2.117
CSNA3,SID NACIONAL,ON,912861403,1.771
SYNE3,SYN PROP TEC,ONEDNM,74462500,0.078
TAEE11,TAESA,UNTN2,274078782,2.354
TGMA3,TEGMA,ONNM,40128506,0.307
TIMS3,TIM,ONEDJNM,716379159,3.241
UNIP6,UNIPAR,PNB,62156904,0.771
VALE3,VALE,ONNM,353860641,5.434
VLID3,VALID,ONNM,95493606,0.424
VULC3,VULCABRAS,ONEDNM,134587356,0.56
