ticker,company,stock_type,qty,percentage
TTEN3,3TENTOS,ONNM,112595686,0.567
ABCB4,ABC BRASIL,PNN2,74945442,0.579
ALOS3,ALLOS,ONEDNM,466632333,4.031
ALPA4,ALPARGATAS,PNEDJN1,132084535,0.476
ALUP11,ALUPAR,UNTEDN2,157537587,1.522
ANIM3,ANIMA,ONNM,256720485,0.26
ARML3,ARMAC,ONNM,172086226,0.223
ASAI3,ASSAI,ONNM,1344470815,2.981
AURE3,AUREN,ONNM,318338365,1.161
AMOB3,AUTOMOB,ONNM,10703132,0.041
AZZA3,AZZAS 2154,ONEDNM,134911449,1.008
BPAN4,BANCO PAN,PNN1,270610980,0.926
BRSR6,BANRISUL,PNBEJN1,202536440,0.921
BMOB3,BEMOBI TECH,ONNM,79316310,0.554
BLAU3,BLAU,ONEDNM,29680739,0.118
SOJA3,BOA SAFRA,ONEJBNM,59184380,0.162
BRBI11,BR PARTNERS,UNTN2,47238057,0.272
BRAP4,BRADESPAR,PNEDJN1,250973136,1.571
AGRO3,BRASILAGRO,ONNM,63480488,0.389
BRKM5,BRASKEM,PNAN1,265876767,0.637
BRAV3,BRAVA,ONNM,461715081,2.254
CAML3,CAMIL,ONNM,96218424,0.161
BHIA3,CASAS BAHIA,ONNM,95071856,0.091
CBAV3,CBA,ONNM,204441277,0.449
CEAB3,CEA MODAS,ONEJNM,138420009,0.536
COGN3,COGNA ON,ONEDBNM,1991965489,1.953
CSMG3,COPASA,ONEDJNM,188467895,2.49
CSAN3,COSAN,ONNM,3248010756,5.357
CURY3,CURY S/A,ONEDNM,135117425,1.316
CVCB3,CVC BRASIL,ONNM,450059727,0.284
CYRE3,CYRELA REALT,ONNM,256055995,2.317
DXCO3,DEXCO,ONEBNM,336763865,0.527
PNVL3,DIMED,ONNM,71064416,0.254
DIRR3,DIRECIONAL,ONEDNM,325640184,1.395
ECOR3,ECORODOVIAS,ONNM,328954615,1.051
EVEN3,EVEN,ONNM,186454955,0.438
EZTC3,EZTEC,ONNM,122037644,0.504
FESA4,FERBASA,PNN1,160507700,0.342
FLRY3,FLEURY,ONNM,447171522,2.034
FRAS3,FRAS-LE,ONEJN1,107111030,0.78
GFSA3,GAFISA,ONNM,11159357,0.017
GOAU4,GERDAU MET,PNEBN1,830615026,2.311
GGPS3,GPS,ONEDBNM,433010168,2.104
GRND3,GRENDENE,ONEDNM,268029367,0.375
SBFG3,GRUPO SBF,ONNM,131326169,0.517
GUAR3,GUARARAPES,ONEDJNM,81942860,0.227
HBSA3,HIDROVIAS,ONNM,677579812,0.741
HYPE3,HYPERA,ONEJNM,293521155,2.072
IGTI11,IGUATEMI S.A,UNTN1,211401696,1.634
INTB3,INTELBRAS,ONEDNM,114061681,0.407
MYPK3,IOCHP-MAXION,ONNM,131546398,0.404
RANI3,IRANI,ONNM,99965372,0.265
IRBR3,IRBBRASIL RE,ONNM,81838787,1.369
JALL3,JALLESMACHAD,ONNM,96226077,0.085
JHSF3,JHSF PART,ONNM,280778127,0.684
JSLG3,JSL,ONNM,63103465,0.155
KEPL3,KEPLER WEBER,ONEDNM,173074197,0.516
LAVV3,LAVVI,ONNM,74230129,0.359
LOGG3,LOG COM PROP,ONEDNM,50624080,0.37
LREN3,LOJAS RENNER,ONNM,1000358705,4.171
LWSA3,LWSA,ONNM,377945859,0.483
MDIA3,M.DIASBRANCO,ONEDNM,64887799,0.474
