companyid,companyname,ticker,price,p_l,p_vp,p_ebit,p_ativo,ev_ebit,margembruta,margemebit,margemliquida,p_sr,p_capitalgiro,p_ativocirculante,giroativos,roe,roa,roic,dividaliquidapatrimonioliquido,dividaliquidaebit,pl_ativo,passivo_ativo,liquidezcorrente,peg_ratio,receitas_cagr5,liquidezmediadiaria,vpa,lpa,valormercado,segmentid,sectorid,subsectorid,subsectorname,segmentname,sectorname,dy,lucros_cagr5
423,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,AALR3,5.1,-9.65,0.73,6.62,0.26,9.72,26.83,9.47,-6.49,0.63,177.69,-0.35,0.41,-7.54,-2.66,5.63,0.34,3.1,0.35,0.64,1.01,0.19,2.55,246312.48,7.0,-0.53,777033358.2,80,7,39,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos,Saúde,,
327,BCO ABC BRASIL S.A.,ABCB4,25.3,6.38,0.92,5.24,0.1,5.24,20.09,11.47,9.4,0.6,-2.45,-0.1,0.17,14.47,1.59,,,,0.11,0.89,0.24,0.19,35.11,12524004.71,27.39,3.96,6189818482.1,54,4,24,Intermediários Financeiros,Bancos,Financeiro e Outros,7.69,14.28
297,AMBEV S.A.,ABEV3,13.72,13.48,2.35,9.04,1.54,8.33,51.77,26.45,17.73,2.39,40.32,-2.19,0.64,17.43,11.39,20.93,-0.18,-0.71,0.65,0.34,1.15,0.9,11.2,447567029.0,5.84,1.02,216249683732.32,46,3,18,Bebidas,Cervejas e Refrigerantes,Consumo não Cíclico,8.12,6.36
422,ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.,ADHM3,1.56,-4.09,-1.29,-5.69,105.12,-5.69,100.0,-13548.48,-18860.61,770.9,-1.43,-116.16,0.14,-31.47,-2571.9,22.61,,0.0,-81.72,82.72,0.0,-0.58,,,-1.21,-0.38,25439770.2,80,7,39,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos,Saúde,,
649,AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S.A,AERI3,3.24,-0.16,-0.97,-0.2,0.1,-1.94,1.74,-117.42,-147.83,0.24,0.98,-0.17,0.43,-598.24,-63.76,-66.03,,-1.74,-0.11,1.11,1.39,0.0,12.7,374505.33,-3.35,-20.06,201269435.04,8,1,3,Máquinas e Equipamentos,Máq. e Equip. Industriais,Bens Industriais,,
759,AES BRASIL ENERGIA S.A.,AESB3,8.12,-14.7,1.8,7.98,0.38,18.28,27.47,23.7,-12.86,1.89,-50.54,-0.46,0.2,-12.23,-2.6,4.83,2.32,10.3,0.21,0.73,0.95,-0.19,,13684494.0,4.52,-0.55,7663439293.44,85,10,44,Energia Elétrica,Energia Elétrica,Utilidade Pública,,
445,AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A,AFLT3,7.6,13.75,1.88,9.58,1.27,9.36,67.69,61.47,42.8,5.89,6.09,-1.87,0.22,13.65,9.25,13.92,-0.04,-0.21,0.68,0.32,2.9,0.25,17.36,4269.18,4.05,0.55,479443720.0,85,10,44,Energia Elétrica,Energia Elétrica,Utilidade Pública,4.51,6.66
280,BRASILAGRO - CIA BRAS DE PROP AGRICOLAS,AGRO3,20.07,-86.91,0.95,30.44,0.54,47.45,19.34,6.62,-2.32,2.01,3.97,-0.78,0.27,-1.09,-0.62,-0.36,0.53,17.01,0.57,0.43,1.79,0.8,10.7,3543676.86,21.21,-0.23,2060856721.08,42,3,16,Agropecuária,Agricultura,Consumo não Cíclico,3.75,
790,AGROGALAXY PARTICIPAÇÕES S.A.,AGXY3,4.43,0.06,-0.41,0.11,0.03,1.47,-1.14,39.74,70.06,0.04,0.15,-0.06,0.79,-661.54,55.38,83.66,,1.36,-0.08,1.08,2.19,0.0,24.29,82404.52,-10.93,72.3,75175199.53,42,3,16,Agropecuária,Agricultura,Consumo não Cíclico,,123.15
278,SAO PAULO TURISMO S.A.,AHEB3,23.0,2.38,0.77,2.64,0.33,1.67,19.91,11.04,12.25,0.29,1.32,-0.58,1.14,32.19,13.95,27.08,-0.3,-1.03,0.43,0.57,2.46,-0.06,44.62,4086.2,30.0,9.66,200862106.0,40,2,15,Viagens e Lazer,Produção de Eventos e Shows,Consumo Cíclico,,
